"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json HTTP/1.1"" 302 - 1 ""https://abc.example.com//UtxPortal/us/en/home/megamenu.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/010_PR_gridd.jpg HTTP/1.1"" 200 50237 17 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/009_davosCEO_grid.jpg HTTP/1.1"" 200 64695 18 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/012_PR_grid.jpg HTTP/1.1"" 200 73741 18 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/010_Grid.jpg HTTP/1.1"" 200 50435 18 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/007_Grid.jpg HTTP/1.1"" 200 77996 19 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /content/dam/company-2026/january/009_Grid.jpg HTTP/1.1"" 200 52680 17 ""https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /homePage/rest/common-data/event_list HTTP/1.1"" 200 493 34 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /DataValidation/rest/my-teams/team-member-counts?input_year=2025-2026 HTTP/1.1"" 200 145 40 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""GET /home/icomoon.d70854205761a8ed.ttf?914xpx HTTP/1.1"" 200 2760 6 ""https://abc.example.com//styles.a13d3ceb6128e5ac.css"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
"<150>Jan 28 08:59:59 servernameabc httpd[12345]: 0.0.0.0 0.1.0.1 12345 abc.example.net - - [28/Jan/2026:08:59:59 +0530] ""POST /GoalSetting/rest/conversation/attributes HTTP/1.1"" 200 3189 41 ""https://abc.example.com//"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36"""
