Priority,Syslog_Timestamp,Hostname,Process,Client_IP,Proxy_IP,Port,Domain,Remote_User,Auth_User,HTTP_Access_Time,Request_Method,Request_Path,Protocol,Status_Code,Response_Size,Response_Time,Referrer,User_Agent
150,Jan 28 08:59:00,servernameabc,httpd[8502],192.168.1.39,10.0.0.2,38375,abc.example.net,-,-,28/Jan/2026:08:59:00 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,69374,46,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:03,servernameabc,httpd[8858],192.168.1.50,10.0.0.1,32914,abc.example.net,-,-,28/Jan/2026:08:59:03 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,36599,45,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:06,servernameabc,httpd[9034],192.168.1.48,10.0.0.9,58735,abc.example.net,-,-,28/Jan/2026:08:59:06 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,200,25711,23,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:08,servernameabc,httpd[8757],192.168.1.3,10.0.0.8,29530,abc.example.net,-,-,28/Jan/2026:08:59:08 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,62265,12,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:10,servernameabc,httpd[4846],192.168.1.23,10.0.0.5,19159,abc.example.net,-,-,28/Jan/2026:08:59:10 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,200,67669,27,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:13,servernameabc,httpd[9290],192.168.1.39,10.0.0.1,17824,abc.example.net,-,-,28/Jan/2026:08:59:13 +0530,GET,/etc.clientlibs/UtxPortal/clientlibs/clientlib-angular18.4.0/resources/manifest.json,HTTP/1.1,302,79858,19,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:15,servernameabc,httpd[3908],192.168.1.31,10.0.0.8,14174,abc.example.net,-,-,28/Jan/2026:08:59:15 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,36337,43,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:18,servernameabc,httpd[8244],192.168.1.36,10.0.0.10,54128,abc.example.net,-,-,28/Jan/2026:08:59:18 +0530,GET,/content/dam/company-2026/january/012_PR_grid.jpg,HTTP/1.1,200,28130,45,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:21,servernameabc,httpd[4586],192.168.1.47,10.0.0.2,36333,abc.example.net,-,-,28/Jan/2026:08:59:21 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,62664,45,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:24,servernameabc,httpd[5626],192.168.1.16,10.0.0.3,50115,abc.example.net,-,-,28/Jan/2026:08:59:24 +0530,GET,/content/dam/company-2026/january/009_Grid.jpg,HTTP/1.1,302,37869,10,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:27,servernameabc,httpd[9533],192.168.1.50,10.0.0.3,59439,abc.example.net,-,-,28/Jan/2026:08:59:27 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,200,25687,49,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
150,Jan 28 08:59:29,servernameabc,httpd[7830],192.168.1.32,10.0.0.8,12876,abc.example.net,-,-,28/Jan/2026:08:59:29 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,31431,28,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/144.0.0.0
150,Jan 28 08:59:32,servernameabc,httpd[9298],192.168.1.40,10.0.0.6,38474,abc.example.net,-,-,28/Jan/2026:08:59:32 +0530,POST,/etc/passwd,HTTP/1.1,401,1134097,4071,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,sqlmap/1.7
150,Jan 28 08:59:32,servernameabc,httpd[3978],192.168.1.41,10.0.0.5,39505,abc.example.net,-,-,28/Jan/2026:08:59:32 +0530,GET,/content/dam/company-2026/january/007_Grid.jpg,HTTP/1.1,302,36501,26,https://abc.example.com//UtxPortal/us/en/home/corporateglobal.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/143.0.0.0
